full_name_nm,employee_id,birth_date_dt,phone_number_txt,work_record_value,position_id,premium_amt,company_id
Angelita Aberkirder,1,1967-06-18,+54-232-698-7363,30,8,22,4
Lisette Armatidge,2,1963-12-15,+86-746-730-1261,14,3,43,5
Berna Halford,3,1982-04-13,+81-722-119-9468,12,1,13,6
Merle Tuplin,4,1991-07-03,+62-221-958-5234,11,1,28,6
Jamesy Letchmore,5,1983-04-22,+977-669-478-6245,31,4,14,4
Valeda Fairhead,6,1957-04-25,+62-728-906-8086,24,4,41,2
Florian Fadden,7,1996-11-20,+92-778-862-7109,2,3,33,6
Jacky Collymore,8,1974-09-01,+33-462-197-2744,24,10,43,6
Addie Jirieck,9,1969-02-27,+27-446-798-4026,16,3,17,4
Ursuline Figgs,10,1970-05-25,+963-724-686-6273,11,3,41,5
Bobbette Sapauton,11,1961-06-28,+64-560-367-5218,18,2,7,3
Maurene Gronw,12,1984-09-06,+93-271-600-2111,29,6,46,6
Dominic Syder,13,1978-09-18,+20-388-508-9341,39,6,43,4
Arnold Andreazzi,14,1975-05-21,+86-246-418-9311,34,6,22,2
Selene Staining,15,1981-12-11,+54-181-924-4754,7,1,20,1
Pennie Winchurst,16,1963-10-21,+7-125-742-1167,32,7,36,6
Jerrylee Forrest,17,1958-05-17,+53-157-279-9857,3,1,16,3
Harmon Dimitresco,18,1968-01-30,+1-727-945-2822,10,8,20,1
Lise Trosdall,19,1971-05-18,+420-702-418-3762,35,3,7,2
Karylin Kapiloff,20,1975-10-16,+81-520-175-7456,8,7,46,1
Dana Pau,21,1954-08-10,+1-968-238-6090,6,9,37,3
Devin Crayk,22,1958-02-27,+7-639-469-8763,40,4,36,6
Marcos Mattocks,23,1960-02-02,+998-563-351-3313,4,9,37,5
Eadie Hirsch,24,1991-04-11,+1-256-212-7791,35,8,38,3
Gabby Howorth,25,1993-03-24,+216-751-808-0514,32,9,21,2
Karlis Yitzhakof,26,1954-09-14,+56-389-403-6488,8,4,23,2
Imogen MacGilrewy,27,1969-07-26,+86-420-634-9080,1,7,45,1
Roosevelt Riddick,28,1985-05-20,+234-459-980-2404,9,9,16,1
Elfreda Bleythin,29,1952-02-29,+237-944-912-6308,5,5,41,4
Anders Duddy,30,1961-02-18,+33-397-476-6202,39,5,37,2
Les Corner,31,1965-11-01,+420-664-617-8184,37,9,7,3
Misha Bruniges,32,1956-07-28,+63-299-572-3927,4,3,18,2
Abeu Shekle,33,1954-12-07,+381-253-340-3902,27,1,36,5
Alayne Van Salzberger,34,1975-12-23,+54-454-484-7544,22,4,15,4
Bevon Winterson,35,1955-05-16,+389-869-272-3620,19,4,4,1
Kathi Goaley,36,1951-11-25,+1-423-202-0741,27,2,11,3
Geralda Nornable,37,1991-10-25,+54-907-727-1448,26,7,32,2
Ursuline Lavis,38,1971-06-13,+1-369-969-1862,12,1,40,5
Rey Condit,39,1977-10-17,+63-177-772-5143,14,8,37,2
Dane Vannah,40,1991-11-05,+55-786-167-4928,37,9,16,2
Felix Rupel,41,1997-05-27,+507-897-726-0818,35,3,34,6
Erda Barthelet,42,1959-01-04,+57-408-731-8902,2,10,1,2
Helen-elizabeth Cannam,43,1958-01-13,+63-889-680-7457,28,7,8,5
Sunshine Sneden,44,1983-05-21,+1-915-538-2253,34,6,34,6
Gaye Rosa,45,1963-07-09,+86-106-113-5866,37,1,38,1
Gerrilee Balchin,46,1985-08-24,+55-504-831-6398,30,4,2,4
Deloris Fussey,47,1991-05-28,+86-700-527-9345,4,10,48,3
Alain Kauffman,48,1958-01-15,+86-117-679-5603,27,10,5,4
Michelina Floyde,49,1989-05-25,+7-301-658-3330,23,5,8,3
Mikey Ormerod,50,1967-04-01,+52-632-111-0802,22,3,29,5
Gena Manes,51,1996-05-05,+7-667-337-5053,10,2,22,3
Bevan Baulch,52,1971-06-05,+58-234-872-5388,26,6,6,1
Rosella Pauncefoot,53,1988-03-17,+20-891-979-4629,23,6,33,6
Teodoro Otson,54,1958-06-30,+268-550-929-7415,26,4,8,1
Muffin Glasscott,55,1956-06-18,+46-997-771-2092,20,10,29,1
Sela Tempest,56,1969-12-20,+86-461-531-3726,32,5,5,4
Tally Liell,57,2000-02-28,+48-878-658-1932,2,3,21,1
Hasty Mitchely,58,1967-01-16,+86-324-769-3423,34,7,11,2
Rose Cowlam,59,1968-12-21,+55-997-320-3263,26,5,46,5
Tabitha Meininking,60,1974-05-08,+33-818-611-5758,20,7,31,5
Jerri Giacobo,61,1980-03-23,+1-970-424-5875,6,8,43,1
Rik Vials,62,1954-08-06,+58-265-340-0564,3,2,39,6
Vito Kirk,63,1982-10-06,+7-245-889-4845,19,2,44,1
Flin Skeldinge,64,2000-03-16,+33-246-224-6351,5,7,30,1
Stefano Vedyashkin,65,1975-06-02,+351-142-890-5162,22,3,21,3
Titus Hargate,66,1961-01-01,+86-474-751-8682,30,1,1,6
Florrie Offield,67,1966-09-13,+972-540-444-9762,17,10,27,1
Reggy Legon,68,1976-10-11,+355-191-326-6208,25,2,42,2
Vasily Peart,69,1956-06-20,+358-636-507-6206,1,5,47,1
Alverta Graith,70,1975-10-12,+7-812-244-9091,10,6,2,4
Errol Moyser,71,1952-04-25,+7-348-291-4945,7,3,3,5
Maryjane Prover,72,1990-08-19,+86-375-904-7850,39,10,46,2
Trstram Boud,73,1965-10-23,+48-456-854-7165,25,10,13,5
Jessie Cardon,74,1997-10-05,+212-730-237-7842,15,4,6,3
Catha Neillans,75,1959-02-22,+62-963-991-5504,26,1,30,6
Lezley Toopin,76,1999-04-09,+233-878-807-7112,24,9,33,5
Silvain Minker,77,1989-08-14,+7-422-369-1575,20,1,5,5
Jacqui Hyman,78,1981-01-10,+212-868-231-3167,33,5,30,6
Roana Legion,79,1967-01-26,+86-459-263-4424,12,4,10,6
Jemmy Leythley,80,1979-02-07,+86-245-120-4607,15,4,26,2
Lela Thies,81,1950-12-05,+54-473-466-4579,35,1,39,5
Saidee Livingstone,82,1997-02-02,+7-710-592-3706,10,7,44,4
Morley Vanini,83,1999-02-04,+63-743-510-8578,9,5,5,4
Erie Rorke,84,1966-02-25,+675-562-557-9949,33,4,12,1
Roma Malone,85,1979-06-13,+63-490-160-6594,28,5,15,4
Lanny Farmar,86,1985-03-23,+351-295-885-5292,34,5,39,5
Bab Hiscocks,87,1973-01-12,+7-428-184-0149,22,7,5,1
Ettie Turnock,88,1960-01-16,+55-631-717-7614,5,7,20,2
Hilliary Arnoult,89,1970-01-10,+370-927-254-9551,40,7,18,3
Buffy Agerskow,90,1978-09-14,+86-805-341-3521,28,6,50,5
Teodorico Curry,91,1981-11-27,+86-335-957-2477,23,5,9,6
Jillian Scarfe,92,1963-01-05,+48-715-714-9592,28,3,41,3
Aldric Roddie,93,1956-01-27,+81-715-787-6592,5,5,16,1
Nelle Martijn,94,1965-10-10,+62-178-141-3066,20,7,31,3
Kane Ephson,95,1976-10-19,+62-543-213-6581,12,3,39,2
Ebenezer Smitheman,96,1953-11-13,+62-469-868-8247,6,3,24,1
Cassie Bendtsen,97,1999-01-19,+995-674-115-1099,14,7,15,2
Eldin Keets,98,1990-04-29,+7-980-111-6827,26,9,13,6
Sande Ubsdell,99,1979-11-24,+359-828-586-5213,37,3,25,4
Fallon Beams,100,1990-10-12,+51-248-606-8071,35,5,41,4
